name,group,Rank,Rating,Reviews,Min Installs,max_installs
FIFA 14 by EA SPORTS ,Sports,141,4.49,125308,1000000,5000000
The Amazing Spider-Man 2,Action,142,4.08,10559,50000,100000
MeetMe: Chat & Meet New People,Social,143,4.16,353470,10000000,50000000
Candy Blast Mania,Arcade,144,4.15,21425,500000,1000000
The Price is Right Slots,Casino,145,4.26,34437,1000000,5000000
Card Wars - Adventure Time,Card,146,4.26,16727,100000,500000
Texas HoldEm Poker Deluxe,Casino,147,4.6,283989,10000000,50000000
The Tribez,Simulation,148,4.49,561031,1000000,5000000
D.O.T. Defender of Texel (RPG),Arcade,149,4.38,44712,1000000,5000000
Jurassic Park Builder,Simulation,150,4.21,282368,10000000,50000000
Little Empire,Strategy,151,4.38,122355,5000000,10000000
King's Empire,Strategy,152,4.24,73132,1000000,5000000
Angry Birds,Arcade,153,4.46,2719534,100000000,500000000
Star Wars: Assault Team,Strategy,154,4.07,52324,1000000,5000000
Slots Riches of Olympus,Casino,155,4.25,6881,100000,500000
Bingo by IGG: Top Bingo+Slots!,Casino,156,4.62,54608,1000000,5000000
Throne Rush,Strategy,157,4.38,153621,1000000,5000000
Legends at War,Role Playing,158,4.07,24834,500000,1000000
Angry Birds Go!,Racing,159,4.15,1494887,10000000,50000000
Zombie Assault:Sniper,Action,160,4.16,61474,1000000,5000000
Township,Simulation,161,4.31,122506,1000000,5000000
Disco Bees,Puzzle,162,4.24,29433,1000000,5000000
Rage of the Immortals,Role Playing,163,4.12,50452,1000000,5000000
Fashion Story: Mother's Day,Casual,164,4.19,8821,100000,500000
Texas Poker,Card,165,4.15,77695,10000000,50000000
Paramon,Adventure,166,3.81,4407,100000,500000
FoxFi Key (supports PdaNet),Communication,167,3.88,6993,500000,1000000
Battle Alert,Role Playing,168,4.05,76104,5000000,10000000
Spirit Stones,Puzzle,169,4.29,86373,1000000,5000000
WhatsApp Messenger,Communication,170,4.45,12641916,500000000,1000000000
Deadman's Cross,Role Playing,171,3.65,33842,1000000,5000000
Drag Racing,Racing,172,4.46,1438518,100000000,500000000
The Walking Dead: Season One,Adventure,173,4.47,212529,1000000,5000000
Slot Bonanza-FREE Casino Slots,Casino,174,4.35,12796,500000,1000000
Viber,Communication,175,4.35,3652594,100000000,500000000
Top Eleven Be a Soccer Manager,Sports,176,4.46,808602,10000000,50000000
Pixel Gun 3D,Action,177,4.39,150364,1000000,5000000
Avengers Alliance,Action,178,3.96,153228,5000000,10000000
Brightwood Adventures,Casual,179,4.41,85628,1000000,5000000
The Price Is Right Bingo,Casino,180,4.35,6367,100000,500000
Bakery Story: Mother Day,Casual,181,4.49,6306,100000,500000
Soul Guardians: Age of Midgard,Action,182,4.36,5002,50000,100000
Magic Piano by Smule,Music & Audio,183,4.13,220287,10000000,50000000
G.I. JOE: BATTLEGROUND,Arcade,184,4.09,11474,1000000,5000000
Asphalt 8: Airborne,Racing,185,4.46,1228466,10000000,50000000
Fresh Deck Poker - Live Holdem,Casino,186,4.58,32295,1000000,5000000
Real Steel World Robot Boxing,Action,187,4.48,569858,10000000,50000000
Battle of Zombies: Clans MMO,Strategy,188,4.09,70765,1000000,5000000
FRONTLINE COMMANDO 2,Action,189,4.25,375146,5000000,10000000
SLINGSHOT BRAVES,Role Playing,190,4.14,36129,500000,1000000
Lookout Security & Antivirus,Productivity,191,4.49,654137,50000000,100000000
GREE,Social,192,2.58,22825,5000000,10000000
Jewel Mania,Arcade,193,3.72,70431,5000000,10000000
Road Riot For Tango,Racing,194,4.31,68608,1000000,5000000
